navn;link;kilde;periodestart;periodeslutt;type
mediansnowCover;mediansnowCover.xlsx;met.no;1960;2020;Modellerte klimadata
ANO data;https://kartkatalog.miljodirektoratet.no/Dataset/Details/2054;ANO, Miljødirektoratet;2019;2021;Rådata
Ellenberg indicator values for British plants;https://nora.nerc.ac.uk/id/eprint/6411/;Hill et al. 1999;;;Ekspertgenererte data
Generaliserte artslistedata NiN;;NiN 2.0;;;Ekspertgenererte data
winterRain_med;winterRain_med.xlsx;met.no;1960;2020;Modellerte klimadata
Swedish Plant indicator data;https://www.sciencedirect.com/science/article/pii/S1470160X20308621?via%3Dihub;Tyler et al. 2021;;;Ekspertgenererte data
Breatlas 2018/2019;https://www.nve.no/vann-og-vassdrag/vannets-kretsloep/bre/publikasjoner-publications/breatlas-glacier-inventories/;NVE, Sentinel-2;2018;2019;Fjernmålte data
snowDepth_med;snowDepth_med.xls;met.no;1960;2020;Modellerte klimadata
NDVI;https://lpdaac.usgs.gov/products/mod13q1v006/;MODIS, Google Earth Engine;2000;2019;Fjernmålte data
fjellrype;miljodirektoratet.no;TOV-E;2010;2020;Rådata
smågnagere;https://www.naturindeks.no/;Naturindeks, TOV;1990;2019;Rådata
lirype;https://honsefugl.nina.no/Innsyn/nb;Hønsefuglportalen;2010;2020;Rådata
fjellrev;https://www.rovbase.no/;Overvåkingsprogram for fjellrev;1950;2019;Rådata
kongeørn;https://rovdata.no/;Rovdata;2015;2019;Rådata
jerv;https://rovdata.no/;Rovdata;1990;2019;Rådata
Naturindeks for fjell;https://www.naturindeks.no/;Naturindeks;1988;2019;Prosesserte data
rein;https://www.reinbase.no/;Reinbase, Kjørstad et al. (2017);2015;2020;Rådata
N50 kartdata;https://kartkatalog.geonorge.no/metadata/ea192681-d039-42ec-b1bc-f3ce04c189ac;Kartverket;;;Kartdata
Inngrepsfri natur;https://kartkatalog.geonorge.no/metadata/inngrepsfri-natur-i-norge/277bda73-b924-4a0e-b299-ea5441de2d3b;Miljødirektoratet;1988;2018;Kartdata
