"reg","year","val"
"N",2018,0.842639593908629
"C",2018,0.83277756518887
"E",2018,0.759651564352353
"W",2018,0.659686869657093
"S",2018,0.73120665742025
"N",2013,0.844510607835481
"C",2013,0.834964193953971
"E",2013,0.760218545435802
"W",2013,0.663865142637595
"S",2013,0.732871012482663
"N",2008,0.846560588311857
"C",2008,0.839064122888537
"E",2008,0.762950363383331
"W",2008,0.669388147152051
"S",2008,0.734396671289875
"N",1988,0.859462449563972
"C",1988,0.854862515716394
"E",1988,0.769496417710427
"W",1988,0.69085582556911
"S",1988,0.745214979195562
"Norge",1988,0.783978437551093
"Norge",2008,0.77047197860513
"Norge",2013,0.767285900469102
"Norge",2018,0.765192450105439
