"","ind","reg","low","med","upp"
"1","ppr","C",0.770731379691982,0.770731379691982,0.770731379691982
"2","ppr","N",0.728800166557499,0.728800166557499,0.728800166557499
"3","ppr","W",0.76276207974305,0.76276207974305,0.76276207974305
"4","ppr","S",0.81014430255978,0.81014430255978,0.81014430255978
"5","ppr","E",0.77450363010212,0.77450363010212,0.77450363010212
"6","ppr","Norge",0.749779240467695,0.749779240467695,0.749779240467695
"7","isf","C",0.518931237875,0.52339648,0.530400234875
"8","isf","N",0.519370461073275,0.529335919621556,0.537956375616574
"9","isf","W",0.591016353731309,0.618492403815542,0.648783071530289
"10","isf","S",0.634928606057499,0.675919652788292,0.741701814715143
"11","isf","E",0.530826646695587,0.557718915993553,0.565285271961109
"12","isf","Norge",0.542384019846665,0.55256574751817,0.557730512291093
"13","bmb","C",0.540659036947953,0.559568524451701,0.579056910551861
"14","bmb","N",0.396484033714809,0.45164067966481,0.473410603819117
"15","bmb","W",0.41037283475219,0.427201687482873,0.470133853687335
"16","bmb","S",0.445566837939844,0.482018577313069,0.571010285853936
"17","bmb","E",0.466699482497141,0.528672017811414,0.556098995713844
"18","bmb","Norge",0.431793099132365,0.481711360016098,0.529233189968011
"19","fgw","C",0.483045429720206,0.540283018781942,0.575459406890014
"20","fgw","N",0.331983047822541,0.382209883920299,0.435030355239839
"21","fgw","W",0.36398095948268,0.400450135417613,0.446438552294937
"22","fgw","S",0.385390064718518,0.418152646933182,0.533907772554582
"23","fgw","E",0.42496655786988,0.497506974098584,0.516445454767054
"24","fgw","Norge",0.353369694614183,0.467154426789437,0.487795683953448
"25","bio","C",0.6231669,0.689295,0.74288626
"26","bio","N",0.6428293925,0.6772039,0.712758185
"27","bio","W",0.605523715,0.63414715,0.64670103
"28","bio","S",0.55829796,0.6238078,0.6352816575
"29","bio","E",0.592530005,0.6324244,0.6994757125
"30","bio","Norge",0.6254576925,0.65068825,0.685544715
"31","lsp","C",0.774150759482779,0.774150759482779,0.774150759482779
"32","lsp","N",0.756975176819374,0.756975176819374,0.756975176819374
"33","lsp","W",0.5489438575766,0.5489438575766,0.5489438575766
"34","lsp","S",0.622109206365352,0.622109206365352,0.622109206365352
"35","lsp","E",0.61877604926035,0.61877604926035,0.61877604926035
"36","lsp","Norge",0.696685495331065,0.696685495331065,0.696685495331065
"37","abf","C",0.812248877835482,0.826994798580153,0.849803682789739
"38","abf","N",0.810558058566236,0.837509400865478,0.875281089640933
"39","abf","W",0.840721399261002,0.860357623363818,0.890611649926454
"40","abf","S",0.73954236457427,0.776646148351081,0.800319205941828
"41","abf","E",0.806840747146276,0.852802045312505,0.864355367914966
"42","abf","Norge",0.799192513414822,0.850786144454475,0.872802534978854
